epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,6331.34,1.50656,2.00324,0.75593,0.00238,0.47366,0.80399,0.79537,0.82707,0.66322,0.69657,0.67737,0.65958,0.29983,1.14507,1.73681,0.68761,0.00288,0,0.000280723,0.000280723,0.000280723
86,6405.77,1.5146,2.00414,0.76607,0.00237,0.46843,0.80888,0.79727,0.8273,0.66391,0.69639,0.67523,0.65501,0.30195,1.14928,1.74161,0.69704,0.00292,0,0.00026422,0.00026422,0.00026422
87,6480.17,1.49869,2.00522,0.75779,0.00234,0.47414,0.80886,0.79236,0.8259,0.6639,0.70237,0.67295,0.66035,0.3037,1.14647,1.73738,0.71364,0.00289,0,0.000247716,0.000247716,0.000247716
88,6554.54,1.49713,1.99287,0.75414,0.0023,0.46307,0.81427,0.79087,0.8278,0.66604,0.7087,0.67324,0.65683,0.30158,1.14518,1.73541,0.69498,0.0029,0,0.000231213,0.000231213,0.000231213
89,6629,1.49654,1.99166,0.74723,0.00229,0.46224,0.80876,0.79298,0.82771,0.6639,0.70872,0.6699,0.65593,0.30446,1.14681,1.73565,0.68428,0.00289,0,0.00021471,0.00021471,0.00021471
90,6703.38,1.49584,1.98818,0.7494,0.00231,0.45084,0.80567,0.79141,0.82632,0.66422,0.70143,0.67463,0.66081,0.30497,1.14817,1.7307,0.69498,0.00289,0,0.000198206,0.000198206,0.000198206
91,6774.9,1.42716,1.92255,0.73979,0.00249,0.33524,0.813,0.78515,0.82324,0.65848,0.70353,0.66933,0.65527,0.30283,1.15807,1.75284,0.7155,0.0029,0,0.000181703,0.000181703,0.000181703
92,6845.39,1.42244,1.92381,0.73532,0.00245,0.32103,0.81624,0.78502,0.82293,0.66121,0.71381,0.66613,0.65597,0.30351,1.15472,1.73179,0.72643,0.00295,0,0.0001652,0.0001652,0.0001652
93,6915.84,1.40946,1.89906,0.7216,0.00243,0.31475,0.81109,0.78962,0.82486,0.66382,0.71009,0.66992,0.65848,0.30631,1.14622,1.7121,0.71024,0.00294,0,0.000148696,0.000148696,0.000148696
94,6986.32,1.40723,1.90749,0.72444,0.00243,0.31632,0.81242,0.79103,0.82869,0.66556,0.7158,0.67261,0.66551,0.30888,1.14199,1.70382,0.69858,0.00291,0,0.000132193,0.000132193,0.000132193
95,7056.76,1.42067,1.92454,0.7205,0.00241,0.316,0.81452,0.78925,0.82836,0.66623,0.71445,0.67356,0.66148,0.3082,1.13952,1.69369,0.69691,0.0029,0,0.00011569,0.00011569,0.00011569
96,7127.1,1.4098,1.89614,0.72124,0.0024,0.31597,0.81855,0.78818,0.82882,0.66653,0.71099,0.67358,0.65987,0.30879,1.13722,1.69287,0.68716,0.0029,0,9.91865e-05,9.91865e-05,9.91865e-05
97,7197.55,1.39448,1.87193,0.71571,0.00239,0.31529,0.81402,0.78879,0.82694,0.66634,0.7187,0.66604,0.66185,0.3085,1.13495,1.69066,0.68323,0.0029,0,8.26832e-05,8.26832e-05,8.26832e-05
98,7267.84,1.39628,1.88897,0.71715,0.00238,0.308,0.81381,0.79183,0.82803,0.66703,0.72135,0.66504,0.6628,0.31027,1.13446,1.68691,0.6795,0.0029,0,6.61799e-05,6.61799e-05,6.61799e-05
99,7338.23,1.39992,1.88363,0.71825,0.00237,0.31118,0.82076,0.7917,0.82871,0.66799,0.71475,0.67419,0.66603,0.31204,1.13294,1.68395,0.67685,0.00291,0,4.96766e-05,4.96766e-05,4.96766e-05
100,7408.54,1.40051,1.90626,0.7127,0.00237,0.31126,0.81595,0.79382,0.82931,0.66853,0.71901,0.67215,0.66747,0.31204,1.13171,1.67812,0.67542,0.0029,0,3.31733e-05,3.31733e-05,3.31733e-05
