epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,6936.47,0.48935,0.44846,0.34544,0.00287,0.29138,0.90858,0.93179,0.9641,0.89902,0.90739,0.93057,0.9611,0.84796,0.31696,0.38161,0.28756,0.00363,0,0.0009704,0.0009704,0.0009704
54,7067.03,0.49715,0.46144,0.36488,0.00286,0.2913,0.95451,0.89462,0.96915,0.90615,0.95322,0.8934,0.96702,0.85119,0.3216,0.37308,0.28414,0.00387,0,0.0009506,0.0009506,0.0009506
55,7197.57,0.50798,0.47054,0.38502,0.00299,0.34169,0.93885,0.90743,0.9668,0.90461,0.93633,0.90499,0.96427,0.85079,0.32377,0.37596,0.28409,0.00391,0,0.0009308,0.0009308,0.0009308
56,7328.19,0.50395,0.45659,0.37503,0.00299,0.3328,0.9132,0.9257,0.9653,0.90253,0.9132,0.9257,0.9653,0.85027,0.33208,0.38042,0.36724,0.00402,0,0.000911,0.000911,0.000911
57,7458.77,0.49479,0.45741,0.3561,0.00293,0.30559,0.92834,0.91524,0.96562,0.90239,0.92711,0.91402,0.96329,0.85405,0.31661,0.37612,0.30096,0.00379,0,0.0008912,0.0008912,0.0008912
58,7589.27,0.48772,0.44883,0.34798,0.00286,0.28408,0.93522,0.91436,0.96905,0.90498,0.93273,0.91192,0.96502,0.84988,0.316,0.37704,0.25651,0.00376,0,0.0008714,0.0008714,0.0008714
59,7719.89,0.4799,0.44096,0.34244,0.00281,0.2849,0.928,0.91961,0.9731,0.90432,0.91925,0.92935,0.96847,0.85584,0.32672,0.38802,0.28537,0.0041,0,0.0008516,0.0008516,0.0008516
60,7850.46,0.47243,0.4473,0.35205,0.00277,0.2842,0.92217,0.92358,0.96984,0.90857,0.91819,0.92964,0.96707,0.85815,0.31535,0.37566,0.2749,0.0038,0,0.0008318,0.0008318,0.0008318
61,7981.08,0.46006,0.43191,0.32482,0.00268,0.28696,0.91211,0.93544,0.97199,0.91006,0.91092,0.93423,0.96924,0.85961,0.30544,0.37633,0.27236,0.00363,0,0.000812,0.000812,0.000812
62,8111.7,0.46782,0.43899,0.33969,0.0026,0.27115,0.93325,0.91352,0.97223,0.90859,0.93201,0.9123,0.96832,0.85421,0.31106,0.38714,0.2927,0.00379,0,0.0007922,0.0007922,0.0007922
63,8242.23,0.46361,0.44138,0.3287,0.00268,0.27015,0.91991,0.93544,0.97506,0.91775,0.91871,0.93423,0.96658,0.86343,0.30935,0.37435,0.27269,0.00382,0,0.0007724,0.0007724,0.0007724
64,8372.8,0.46763,0.43524,0.32984,0.00275,0.27258,0.9292,0.9112,0.96853,0.90913,0.92801,0.91066,0.96454,0.85389,0.30511,0.36323,0.29605,0.00363,0,0.0007526,0.0007526,0.0007526
65,8503.25,0.45786,0.42488,0.3246,0.00262,0.26347,0.92514,0.92205,0.97154,0.91407,0.91871,0.92224,0.967,0.86099,0.30686,0.37368,0.26849,0.00355,0,0.0007328,0.0007328,0.0007328
66,8633.89,0.45339,0.43721,0.32699,0.0026,0.27217,0.91651,0.9359,0.97399,0.91443,0.91651,0.9359,0.97276,0.86206,0.3073,0.36286,0.26927,0.00363,0,0.000713,0.000713,0.000713
67,8764.44,0.45333,0.43563,0.31824,0.00262,0.27216,0.93473,0.92452,0.9714,0.91784,0.93473,0.92452,0.96998,0.86307,0.29203,0.34674,0.26498,0.0034,0,0.0006932,0.0006932,0.0006932
68,8895.06,0.44834,0.42924,0.31484,0.00256,0.2663,0.91977,0.9355,0.97329,0.91726,0.91977,0.9355,0.97101,0.86395,0.28858,0.34938,0.26054,0.00324,0,0.0006734,0.0006734,0.0006734
69,9025.62,0.44225,0.41967,0.31036,0.00253,0.27239,0.92556,0.93897,0.97364,0.92059,0.92556,0.93897,0.97139,0.86551,0.28659,0.36132,0.25927,0.0032,0,0.0006536,0.0006536,0.0006536
70,9156.2,0.44858,0.43195,0.32801,0.00259,0.27754,0.93941,0.92532,0.97096,0.91807,0.9328,0.92935,0.97069,0.86156,0.29527,0.3684,0.25196,0.00345,0,0.0006338,0.0006338,0.0006338
