epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
70,6757.09,0.40769,0.39693,0.25913,0.00224,0.19499,0.94816,0.93574,0.98081,0.93684,0.94693,0.93453,0.97808,0.87787,0.30675,0.41302,0.25568,0.00306,0,0.0006338,0.0006338,0.0006338
71,6853.69,0.40313,0.39595,0.24878,0.00219,0.18047,0.94084,0.94153,0.97964,0.93618,0.93962,0.94032,0.97703,0.87866,0.30686,0.41567,0.25992,0.00307,0,0.000614,0.000614,0.000614
72,6950.27,0.39373,0.38113,0.25012,0.00214,0.17793,0.93092,0.95198,0.97875,0.93443,0.92973,0.95076,0.97602,0.87673,0.3057,0.41838,0.26119,0.00308,0,0.0005942,0.0005942,0.0005942
73,7046.75,0.39398,0.39009,0.24598,0.00213,0.17957,0.93683,0.94641,0.97736,0.93556,0.93562,0.94519,0.97016,0.87544,0.30011,0.41966,0.25882,0.00298,0,0.0005744,0.0005744,0.0005744
74,7143.2,0.38854,0.37865,0.24813,0.00205,0.18385,0.95848,0.91839,0.97886,0.93375,0.95712,0.91717,0.97583,0.87995,0.31126,0.40888,0.26491,0.00311,0,0.0005546,0.0005546,0.0005546
75,7239.74,0.3988,0.38363,0.24721,0.00216,0.19444,0.93528,0.93423,0.97781,0.93279,0.93406,0.93301,0.97509,0.87523,0.30557,0.409,0.27683,0.00302,0,0.0005348,0.0005348,0.0005348
76,7336.31,0.3877,0.38516,0.24342,0.00207,0.18482,0.93497,0.94571,0.97797,0.93406,0.93377,0.94449,0.97665,0.87168,0.30885,0.41565,0.27421,0.0031,0,0.000515,0.000515,0.000515
77,7432.9,0.38159,0.38415,0.23775,0.00206,0.18824,0.95238,0.93423,0.97968,0.93663,0.95044,0.93435,0.97757,0.88392,0.30968,0.41012,0.25611,0.00313,0,0.0004952,0.0004952,0.0004952
78,7529.52,0.37658,0.37158,0.23516,0.00201,0.17951,0.96941,0.92814,0.98128,0.93798,0.96814,0.92692,0.97873,0.88364,0.3041,0.41501,0.24941,0.00302,0,0.0004754,0.0004754,0.0004754
79,7626.17,0.38185,0.37808,0.23703,0.00209,0.17715,0.94763,0.94153,0.98073,0.93458,0.94517,0.9391,0.97759,0.87763,0.30935,0.41947,0.25347,0.0031,0,0.0004556,0.0004556,0.0004556
80,7722.72,0.37708,0.37856,0.22622,0.00201,0.17151,0.93626,0.94817,0.97885,0.934,0.93505,0.94695,0.97539,0.88019,0.30485,0.41699,0.27202,0.00306,0,0.0004358,0.0004358,0.0004358
81,7819.35,0.37891,0.37834,0.23236,0.00201,0.17803,0.93563,0.94032,0.97728,0.93481,0.92739,0.949,0.97551,0.87762,0.30624,0.41813,0.27881,0.00306,0,0.000416,0.000416,0.000416
82,7915.93,0.37192,0.37131,0.2199,0.00196,0.15635,0.95503,0.93121,0.97732,0.93755,0.94472,0.93679,0.97493,0.87715,0.30004,0.41911,0.26519,0.00297,0,0.0003962,0.0003962,0.0003962
83,8012.46,0.37703,0.38114,0.23032,0.00201,0.16709,0.94454,0.94884,0.97889,0.93584,0.94332,0.94762,0.97677,0.87408,0.30419,0.42033,0.25224,0.00304,0,0.0003764,0.0003764,0.0003764
84,8109.07,0.36331,0.36471,0.22031,0.0019,0.15718,0.93911,0.93922,0.97952,0.93516,0.93789,0.938,0.97717,0.87752,0.30415,0.41011,0.25684,0.00302,0,0.0003566,0.0003566,0.0003566
85,8205.67,0.3575,0.359,0.20882,0.0019,0.15558,0.93442,0.96102,0.97902,0.93621,0.93401,0.96102,0.97665,0.87939,0.30074,0.40974,0.24952,0.00297,0,0.0003368,0.0003368,0.0003368
86,8302.32,0.36589,0.37828,0.22298,0.00193,0.16212,0.94062,0.94275,0.978,0.936,0.94062,0.94275,0.97638,0.88025,0.299,0.40907,0.25642,0.0029,0,0.000317,0.000317,0.000317
87,8398.94,0.3568,0.35919,0.21193,0.00188,0.14875,0.94183,0.94641,0.97985,0.93978,0.93967,0.94849,0.97796,0.87977,0.29786,0.41281,0.25161,0.00289,0,0.0002972,0.0002972,0.0002972
88,8495.49,0.3542,0.36062,0.20652,0.00185,0.15299,0.94868,0.94575,0.97998,0.93515,0.94597,0.94519,0.97713,0.87659,0.30228,0.42386,0.24872,0.00295,0,0.0002774,0.0002774,0.0002774
89,8592.02,0.35439,0.35498,0.2123,0.00185,0.15624,0.94192,0.94825,0.97872,0.93889,0.94193,0.94838,0.97575,0.87899,0.29623,0.41738,0.26014,0.0029,0,0.0002576,0.0002576,0.0002576
90,8688.62,0.35608,0.3566,0.21149,0.00191,0.15672,0.94526,0.94641,0.97993,0.93947,0.94404,0.94519,0.97713,0.88291,0.29502,0.42045,0.24649,0.00293,0,0.0002378,0.0002378,0.0002378
91,8785.61,0.30072,0.34166,0.16997,0.00239,0.11354,0.95077,0.94095,0.97786,0.93336,0.94954,0.93973,0.97542,0.87981,0.30723,0.43221,0.24948,0.0031,0,0.000218,0.000218,0.000218
92,8881.63,0.30381,0.33607,0.1603,0.0024,0.11329,0.95234,0.93423,0.97867,0.93417,0.94782,0.93544,0.97604,0.87698,0.30625,0.42994,0.2544,0.00303,0,0.0001982,0.0001982,0.0001982
93,8977.57,0.29917,0.33672,0.15328,0.00236,0.10932,0.94837,0.93963,0.97955,0.93745,0.94714,0.93842,0.97668,0.87908,0.30143,0.42462,0.24288,0.00298,0,0.0001784,0.0001784,0.0001784
94,9073.59,0.29045,0.32926,0.14967,0.00225,0.10371,0.94644,0.94711,0.98053,0.93943,0.94199,0.94884,0.97899,0.87717,0.29675,0.42091,0.2408,0.0029,0,0.0001586,0.0001586,0.0001586
95,9169.56,0.28862,0.32672,0.15271,0.00221,0.1064,0.94984,0.9525,0.98151,0.94106,0.94835,0.95128,0.97846,0.8806,0.29415,0.41881,0.23744,0.00286,0,0.0001388,0.0001388,0.0001388
96,9265.55,0.28761,0.32935,0.14868,0.00216,0.10441,0.94737,0.94278,0.98007,0.93917,0.94417,0.94757,0.97808,0.87894,0.29221,0.42152,0.24896,0.00285,0,0.000119,0.000119,0.000119
97,9361.55,0.27973,0.32259,0.14528,0.00207,0.10241,0.94009,0.95371,0.98054,0.93956,0.9377,0.95737,0.97845,0.8825,0.29168,0.42213,0.24534,0.00282,0,9.92e-05,9.92e-05,9.92e-05
98,9457.48,0.27968,0.3306,0.14411,0.00213,0.10259,0.93884,0.95361,0.98031,0.94112,0.93884,0.95361,0.97816,0.88171,0.28911,0.42155,0.24132,0.00282,0,7.94e-05,7.94e-05,7.94e-05
99,9553.48,0.27996,0.32251,0.14628,0.00211,0.10261,0.93823,0.95493,0.97983,0.94015,0.93823,0.95493,0.97775,0.8801,0.29113,0.41873,0.24643,0.00284,0,5.96e-05,5.96e-05,5.96e-05
100,9649.31,0.2812,0.32382,0.14369,0.00217,0.10699,0.93902,0.95981,0.98039,0.93908,0.93902,0.95981,0.97829,0.88054,0.2906,0.42013,0.24736,0.00284,0,3.98e-05,3.98e-05,3.98e-05
